Warehouse,Space,Address,City,State,price_year,price_month,Type,Space_Available,Building_Size,Ammenities
84,115,2815 Mercury Rd,Jacksonville,Florida,7.5,0.63,Industrial,8400,8400,"Two restrooms, break room, and two offices all in immaculate condition, move-in ready"
85,116,13907 Arnold Rhoden Rd,Sanderson,Florida,3.25,0.27,Industrial,113546,113546,"Fenced lot, yard"
86,117,115 S 2nd St,Fernandina Beach,Florida,7,0.58,Industrial,6315,18699,Waterfront
87,118,4541 St Augustine Rd,Jacksonville,Florida,7.9,0.66,Industrial,2200,55000,"Laboratory 
 Drop Ceiling 
 Air Conditioning 
 Private Restrooms 
 Partitioned Offices"
88,119,904 S 20th St,Tampa,Florida,5.95,0.5,Industrial,24722,59498,
88,120,904 S 20th St,Tampa,Florida,5.95,0.5,Industrial,14007,59498,
89,121,1020 Holland Dr,Boca Raton,Florida,19,1.58,Industrial,1108,36410,"Large, Air-Conditioned Warehouse; 10' x 10' Overhead Door; Office with Restroom; Service Sink; Drinking Fountain"
89,122,1020 Holland Dr,Boca Raton,Florida,19,1.58,Industrial,1108,36410,"Large, Air-Conditioned Warehouse; 10' x 10' Overhead Door; Office with Restroom; Service Sink; Drinking Fountain"
89,123,1020 Holland Dr,Boca Raton,Florida,19,1.58,Industrial,2119,36410,"Large, Air-Conditioned Warehouse; 10' x 10' Overhead Door; Office with Restroom; Service Sink; Drinking Fountain"
90,124,8601 NW 54th St,Doral,Florida,15,1.25,Industrial,1000,16000,
91,125,14501 58th St N,Clearwater,Florida,7,0.58,Industrial,26000,26000,Air conditioning
92,126,1736 E Main St,Leesburg,Florida,7,0.58,Industrial,14400,14400,
93,127,4140 SW 30th Ave,Fort Lauderdale,Florida,9,0.75,Industrial,41200,135000,"Air conditioning, Skylights, Bus line"
93,128,4140 SW 30th Ave,Fort Lauderdale,Florida,9,0.75,Industrial,21880,135000,"Air conditioning, Skylights, Bus line"
94,129,51 Hypoluxo Rd,Latana,Florida,7.95,0.66,Industrial,56382,56382,"24 Hour Availability 
 Foreign Trade Zone 
 Air Conditioning 
 Mezzanine 
 Bio-Tech/ Lab Space 
 Security System 
 Commuter Rail 
 Signage 
 Courtyard 
 USDA/FDA 
 Enterprise Zone 
 Yard 
 Fenced Lot 
 Storage Space 
 Floor Drains"
95,130,2222 NW 14th St,Miami,Florida,11.5,0.96,Industrial,1220,4920,"Bus Line 
 Central Employment Area 
 Fenced Lot 
 Storage Space"
96,131,6942 NW 7 Ave,Miami,Florida,14.88,1.24,Industrial,14690,14690,"24 Hour Availability 
 Raised Floor 
 Air Conditioning 
 Security System 
 Bus Line 
 Central Employment Area 
 Commuter Rail 
 Yard 
 Conferencing Facility 
 Storage Space 
 Fenced Lot"
97,132,5800 NW 163rd St,Miami Lakes,Florida,9.5,0.79,Industrial,18005,108507,Bus Lines
98,133,1312 Randall Ave,Bronx,New York,18,1.5,Industrial,5000,10000,"Lightin, Heating"
99,134,2115 Jericho Tpke,New Hyde Park,New York,25,2.08,Industrial,10000,20980,Mezzanine
99,135,2115 Jericho Tpke,New Hyde Park,New York,25,2.08,Industrial,3900,20980,Mezzanine
99,136,2115 Jericho Tpke,New Hyde Park,New York,25,2.08,Industrial,2880,20980,Mezzanine
99,137,2115 Jericho Tpke,New Hyde Park,New York,25,2.08,Industrial,4200,20980,Mezzanine
100,138,10 Ludlow St,Yonkers,New York,13,1.08,Industrial,6880,6880,
101,139,5000 Airport Executive Park,Nanuet,New York,13,1.08,Industrial,2310,40000,Gas - Natural Water - City Water Sewer - City Sewer Heating - Gas
102,140,157 21st St,Bronx,New York,29.5,2.46,Industrial,5000,5000,Lighting - Fluorescent Water - City Water Sewer - City Sewer Heating - Gas
103,141,146 Hanse Ave,Freeport,New York,9.5,0.79,Industrial,39614,82717,"Waterfront 
 Fenced Lot 
 Buss Ducts"
104,142,45 Ryan Ave,Port Chester,New York,17.41,1.45,Industrial,16400,16400,
105,143,1404 Portland Ave,Rochester,New York,23,1.92,Industrial,988,3260,
106,144,295 W Main,Oneonta,New York,9,0.75,Industrial,1200,20280,Bus line
107,145,2070 Route 52,Hopewell Junction,New York,8,0.67,Industrial,304514,371480,"Air Conditioning 
 Security System"
108,146,631 State Route 15 N,Lake Hopatcong,New York,14,1.17,Industrial,4000,10400,"Freeway Visibility 
 Signage"
108,147,631 State Route 15 N,Lake Hopatcong,New York,14,1.17,Industrial,6200,10400,"Freeway Visibility 
 Signage"
109,148,79 Carlough Rd,Bohemia,New York,12,1,Industrial,12500,12500,"Partitioned Offices 
 Private Restrooms"
110,149,1 Garvies Point Rd,Glen Cove,New York,12,1,Industrial,2800,85000,Fenced Lot
111,150,46 Metropolitan Ave,Ridgewood,New York,23.385,1.95,Industrial,1000,35312,
111,151,46 Metropolitan Ave,Ridgewood,New York,23.385,1.95,Industrial,1400,35312,
111,152,46 Metropolitan Ave,Ridgewood,New York,23.385,1.95,Industrial,800,35312,
112,153,333 N Bedford Rd,Mount Kisco,New York,14,1.17,Industrial,55000,604095,Natural Light
112,154,333 N Bedford Rd,Mount Kisco,New York,14,1.17,Industrial,45258,604095,
113,155,57 Seaview Blvd,Port Washington,New York,11.5,0.96,Industrial,130853,130853,
114,156,100 Wells Ave,Congers,New York,10,0.83,Industrial,12500,25000,
114,157,100 Wells Ave,Congers,New York,10,0.83,Industrial,2500,25000,
115,158,1538 Old country Rd,Plainview,New York,10.5,0.88,Industrial,6500,10000,
115,159,1538 Old country Rd,Plainview,New York,10.5,0.88,Industrial,6477,10000,
116,160,230 Richardson St,Brooklyn,New York,40,3.33,Industrial,1800,2500,
117,161,1600 E Orangethorpe Ave ,Fullerton,California,15,1.25,Industrial ,15017,200162,"BUILDING FEATURES ±15,017 square foot part of larger industrial project Immediate access to 91 & 57 freeways Major street frontage on Orangethorpe ±3,012 square feet of office space 1 dock high loading door 1 ground level loading door 12’ warehouse clearance Two (2) 250 amp 3 phase 4-wire power (verify) 2.0:1,000 SF parking ratio 
Fenced Lot"
118,162,5960 Franklin Blvd,Sacramento,California,6,0.5,Industrial,14900,14900,"Located less than two miles from the Fruitridge Blvd exit off Highway 99, 5960-5990 Franklin Blvd provides a rare opportunity to occupy two recently renovated buildings on the signalized intersection of Franklin Blvd and 38th Ave in South Sacramento. The property consists of two buildings totaling ±14,900 on ±0.75 acres (2 parcels). Both parcels are zoned C-2 (City of Sacramento)"
119,163,308 Palm,Santa Barbara,California,22.2,1.85,Industrial,3078,3078,"This property, originally used for an auto shop offers a 3,078 SF building on a 7,000 SF gated lot. The large parking lot, roll up door and second story office make it perfect for a small manufacturer or mechanic."
120,164,2413 Amsler,Torrance,California,13.8,1.15,Industrial,5000,17000,"Approximately 1,350 sq ft of office space and 3,650 of warehouse space and an additional 1,000 sq ft of outside storage space. Central a/c and 4 private offices, Large bullpen, 2 restrooms, 1 rollup door. Ceilings are 10 1/2 feet high. 7 Parking spaces and an abundance of street parking. Electrical and lighting upgrades in warehouse."
121,165,16253 Gale ave,City of Industry,California,13.8,1.15,Industrial,13526,124282,Bus Line
122,166,1690 Brandywine ave,Chula Vista,California,9.48,0.79,Industrial,43942,69960,Fenced Lot
123,167,912 E 1st street,Pomona,California,6.6,0.55,Industrial,18719,20200,Fenced Lot
124,168,3440 Airway drive,Santa Rosa,California,48,4,Industrial,8000,21925,"Beautiful industrial space, sprinklered, ADA bathroom, private roll-up door, HVAC in office area, ample parking. All uses allowed"
125,169,9685 Distribution Ave,San Diego,California,11.88,0.99,Industrial,6512,34834,"Approximately 6,512 SF for lease 20’-22’ clear height Sprinklered Good freeway access Located just off Miramar Road 10% HVAC offices Skylights 1 dock high door"
126,170,1201 Minnesota Drive,San Fransisco ,California,18,1.5,Industrial,20000,40000,"1,200 sqft Office 5,000 sqft of Insulated AC Storage Two (2) large drive-in doors Large skylights throughout interior Exposed wood ceilings Floor and trench drains Sprinklers 3 Phase / 400 Amps POTENTIAL UPGRADES 4,000 to 6,000 sqft of Mezzanine Upgraded Power Installation"
127,171,29816 Avienda de las Banderas,Rancho Santa Margarita,California,15,1.25,Industrial,6180,6180,"±5,880 SF Industrial Building • ±3,300 SF of Office / HVAC Production Space • Built in 1998 • ±16' Ceiling Height • 400 Amps of Power (Verify) • ±16 Parking Spaces • ±300 SF Bonus Mezzanine • ±10,794 SF Lot • Fenced Yard • Fire Sprinklered • One (1) Ground Level Door"
128,172,1201 46th Ave,Oakland,California,24,2,Industrial,4000,26048,
129,173,1611 17th St,Oakland,California,15,1.25,,10000,17862,3 phase power
130,174,745 8th Ave,Oakland,California,10.68,0.89,,20000,41535,Remote Access
131,175,1450 W 228th St,Torrance,California,10.92,0.91,,6300,12238,water and sewage
132,176,2325 Charter,Stockton,California,6.6,0.55,Industrial,61250,13250,Part of a larger building. Space built in 2001. Shared office/restroom space available. T-8 light fixtures. Paved/ fenced yard/ parking area.
133,177,22815 Frampton,Torrance ,California,10.08,0.84,Industrial,12000,13442,"Fenced lot, Mezzanine"
134,178,3555 W Lomita Blvd,Torrance,California,16.2,1.35,Industrial,7650,7650,Air Conditioning
135,179,2610 Columbia St,Torrance,California,10.56,0.88,Industrial,25000,51023,Air Conditioning
136,180,9909 Hibert St,San Diego,California,12,1,Industrial,1920,1920,"Signage, Water, Sewer"
137,181,4888 Ronson Ct,San Diego,California,17.4,1.45,Industrial,1000,1300,Rear Parking
138,182,6231 E Stassney Ln,Austin,Texas,7.64,0.64,Industrial,21600,130002,"9,284 sf of bulk warehouse with the remaining being office - Office portion has 1 office, break area, and open area for desks - 3 dock high loading areas and 1 loading ramp"
139,183,13802 Turbine Dr,Austin,Texas,7,0.58,Industrial,10320,15920,"Large Office/Warehouse with Efficient parking & 18 Wheeler access. Building has large overhead and dock doors, Clear Span building with 18 wheeler access and large yard. Over 20 clear height 10,300 Total RSF Available. Has 3 wire singe phase 120/240"
140,184,1912 Smith Rd,Austin,Texas,12,1,Industrial,3100,13000,high ceilings and large roll up doors.
141,185,10751 Mapleridge Dr,Dallas,Texas,7,0.58,Industrial,10100,10100,Clear Height: 18 Feet
142,186,2931 Irving Blvd,Dallas,Texas,7.5,0.63,Industrial,8949,32068,"Newly renovated, 100% HVAC, 1 dock high door, 1 ramped door, existing kitchen / breakroom area."
143,187,2930 Ladybird Ln,Dallas,Texas,4.5,0.38,Industrial,15000,50000,
144,188,530 Portwall St,Houston,Texas,3.24,0.27,Industrial,144620,144620,"ully Sprinklered. 32 Overhead dock doors. Large Fenced Truck Apron. 20' Clear Height. 5,650 SF office."
145,189,8303 Knight Rd,Houston,Texas,6,0.5,Industrial,60000,90000,
146,190,3522 Bacor,Houston,Texas,9.6,0.8,Industrial,3000,8000,3 - 14'x14' overhead doors. Fully fenced on 1 acre of land.   Automatic gate opener on driveway
147,191,9600 Technology Blvd,Fort Worth,Texas,4.46,0.37,Industrial,10000,20160,
148,192,500 Rainhead Rd,Fort Worth,Texas,6.25,0.52,Industrial,9521,35213,Enterprise zone
149,193,7333 N Jack Newell Blvd,Fort Worth,Texas,4.95,0.41,Industrial,23342,37320,3 Access gates
150,194,2921 Suffolk Dr,Fort Worth,Texas,7,0.58,Industrial,3000,3000,High Clearance 
151,195,415 Texas Ave,Texas City,Texas,7.62,0.64,Industrial,5200,5200,Large Parkinglot
152,196,312 31st St,Texas City,Texas,8.43,0.7,Industrial,12100,12100,Access ramp
153,197,3700 Thompson St,Austin ,Texas,14.8,1.23,Industrial,3000,9000,Private parking prime location
154,198,12112 Anderson Mill Rd,Austin,Texas,13.8,1.15,Industrial,2000,6000,Office space with HVAC
155,199,4018 Caven Rd,Austin,Texas,9,0.75,Industrial,17600,17600,"First Floor access, fence"
156,200,1718 N Fry Rd,Houston,Texas,13,1.08,Industrial,3313,18330,Recently Built
157,201,827 W 34th St,Houston,Texas,12,1,INdustrial,2500,5500,Large Entryway and 3 phase power
